Date,SPY,VAW,VCR,VDC,VDE,VFH,VGT,VHT,VIS,VNQ,VOX,VPU,^VIX
2013-05-22,132.6996307373047,72.77623748779297,79.58609771728516,76.29532623291016,78.15360260009766,31.38827896118164,67.47516632080078,74.23280334472656,69.21712493896484,45.317691802978516,62.86863327026367,57.015174865722656,13.819999694824219
2013-05-23,132.3157958984375,72.68061065673828,79.33447265625,76.0271987915039,78.10017395019531,31.158727645874023,67.43965911865234,74.41744232177734,69.06785583496094,44.46779251098633,63.25529861450195,56.59024429321289,14.069999694824219
2013-05-24,132.20376586914062,72.43342590332031,79.23033905029297,76.60688018798828,77.79295349121094,31.17405128479004,67.30652618408203,74.20764923095703,68.95174407958984,44.354881286621094,62.94752883911133,56.032493591308594,13.989999771118164
2013-05-28,132.9955291748047,73.27059173583984,80.00262451171875,76.86770629882812,78.61448669433594,31.418907165527344,67.81244659423828,74.95459747314453,69.4410171508789,43.97450256347656,62.442508697509766,55.50795364379883,14.479999542236328
2013-05-29,132.13180541992188,73.0313949584961,79.2477035522461,75.50556182861328,78.45414733886719,31.32708168029785,67.7325439453125,73.88873291015625,68.97662353515625,43.041412353515625,61.38509750366211,54.65806579589844,14.829999923706055
2013-05-30,132.61961364746094,73.27059173583984,79.28241729736328,75.22295379638672,78.24713134765625,31.594894409179688,68.3805160522461,74.45939636230469,69.31665802001953,42.63728713989258,61.59815979003906,54.930294036865234,14.529999732971191
2013-05-31,130.7163543701172,72.21815490722656,78.45808410644531,73.88255310058594,76.71088409423828,30.990379333496094,67.81244659423828,72.9571533203125,68.72782897949219,42.06671905517578,60.982635498046875,54.57175827026367,16.299999237060547
2013-06-03,131.43606567382812,72.56098937988281,78.75312042236328,74.643310546875,77.4322509765625,31.13578224182129,68.14974212646484,73.29283905029297,69.03467559814453,42.30442810058594,60.982635498046875,54.69792175292969,16.280000686645508
2013-06-04,130.80419921875,72.29789733886719,78.49280548095703,74.61434173583984,76.83779907226562,30.845003128051758,67.67042541503906,72.76410675048828,68.57025146484375,41.7160530090332,61.266746520996094,54.419044494628906,16.270000457763672
2013-06-05,128.97286987304688,70.8069839477539,77.23462677001953,73.81011199951172,75.96282958984375,30.401193618774414,66.9958724975586,71.70661163330078,67.34281158447266,41.37135314941406,60.5328369140625,53.97419738769531,17.5
2013-06-06,130.14047241210938,71.3012924194336,77.97217559814453,74.15065002441406,76.50384521484375,30.837350845336914,67.16452026367188,72.69695281982422,67.80724334716797,42.03699493408203,61.67707061767578,54.611610412597656,16.6299991607666
2013-06-07,131.79588317871094,71.79560089111328,79.33447265625,75.09256744384766,77.46564483642578,31.258201599121094,67.83020782470703,73.52783203125,68.98494720458984,42.04294967651367,61.76383972167969,55.029876708984375,15.140000343322754
2013-06-10,131.79588317871094,72.17827606201172,79.06547546386719,75.15050506591797,77.20516967773438,31.296478271484375,67.92782592773438,73.69567108154297,68.86880493164062,41.680397033691406,62.25313186645508,54.95685958862305,15.4399995803833
2013-06-11,130.43641662597656,71.21359252929688,78.27587890625,74.9259262084961,76.08304595947266,30.79144287109375,67.16452026367188,73.36836242675781,68.23017883300781,41.062294006347656,61.81121826171875,54.61823654174805,17.06999969482422
2013-06-12,129.3567352294922,70.79898071289062,77.5556869506836,74.63607788085938,75.55540466308594,30.477705001831055,66.61420440673828,72.65498352050781,67.7077407836914,40.50362777709961,61.56660079956055,54.027305603027344,18.59000015258789
2013-06-13,131.3240509033203,72.13046264648438,78.95267486572266,75.40411376953125,76.86451721191406,31.036300659179688,67.36862182617188,73.72925567626953,68.67807006835938,41.555599212646484,62.52143859863281,54.923667907714844,16.40999984741211
2013-06-14,130.50039672851562,71.69195556640625,78.74439239501953,75.17224884033203,76.14982604980469,30.7302188873291,66.91596984863281,73.56140899658203,68.3546142578125,41.71010971069336,62.48197937011719,54.990055084228516,17.149999618530273
2013-06-17,131.5080108642578,72.13843536376953,79.09152221679688,75.78087615966797,77.0782470703125,30.967435836791992,67.62604522705078,73.70404815673828,68.7610092163086,41.82897186279297,62.0006103515625,55.18260955810547,16.799999237060547
2013-06-18,132.54769897460938,72.52912139892578,79.95054626464844,76.14313507080078,77.53911590576172,31.18170166015625,68.18523406982422,74.29993438720703,69.66499328613281,42.04294967651367,62.837059020996094,55.59427261352539,16.610000610351562
2013-06-19,130.7163543701172,71.89126586914062,79.08282470703125,74.70130157470703,76.87120056152344,30.714914321899414,67.51953887939453,73.16695404052734,68.72782897949219,40.75324630737305,61.582374572753906,54.352657318115234,16.639999389648438
2013-06-20,127.4773941040039,70.00968933105469,77.00035095214844,72.46965026855469,74.68041229248047,30.049192428588867,66.00176239013672,71.2869873046875,67.12718963623047,39.05941390991211,60.36715316772461,52.89191818237305,20.489999771118164
2013-06-21,127.88658905029297,69.65888214111328,77.00900268554688,73.3536376953125,74.78727722167969,30.07980728149414,65.62899017333984,71.93321228027344,67.01935577392578,39.588348388671875,60.65122604370117,53.45627975463867,18.899999618530273
2013-06-24,126.27061462402344,68.5267105102539,76.2801513671875,73.005859375,73.65848541259766,29.584938049316406,64.68812561035156,71.37094116210938,65.89976501464844,39.40896224975586,60.09095764160156,53.38521957397461,20.110000610351562
2013-06-25,127.48464965820312,68.98118591308594,77.03504180908203,73.15799713134766,74.59359741210938,30.13136863708496,65.20291137695312,71.68144989013672,66.67105102539062,40.0689697265625,61.179935455322266,54.03561019897461,18.469999313354492
2013-06-26,128.74684143066406,69.20442962646484,77.93746948242188,73.9042739868164,75.0811767578125,30.423826217651367,65.56681060791016,72.73053741455078,67.27648162841797,40.67497253417969,61.44032669067383,54.719505310058594,17.209999084472656
